obs_ID,study_ID,year_pub,es,var
obs268,"Amarillo-Suárez, A. R., & Fox, C. W. 2006",2006,0.078118209,0.009485938
obs269,"Amarillo-Suárez, A. R., & Fox, C. W. 2006",2006,-0.180591768,0.009517498
obs270,"Amarillo-Suárez, A. R., & Fox, C. W. 2006",2006,0.161911611,0.009509882
obs271,"Amarillo-Suárez, A. R., & Fox, C. W. 2006",2006,-0.064009797,0.009483551
obs272,"Amarillo-Suárez, A. R., & Fox, C. W. 2006",2006,-0.045730928,0.009481163
obs273,"Amarillo-Suárez, A. R., & Fox, C. W. 2006",2006,-0.090744386,0.009488476
obs274,"Amarillo-Suárez, A. R., & Fox, C. W. 2006",2006,0.101222625,0.009490871
obs275,"Amarillo-Suárez, A. R., & Fox, C. W. 2006",2006,-0.18176391,0.009518004
obs276,"Amarillo-Suárez, A. R., & Fox, C. W. 2006",2006,0.086684791,0.009487619
obs277,"Amarillo-Suárez, A. R., & Fox, C. W. 2006",2006,-0.139397641,0.009501806
obs278,"Amarillo-Suárez, A. R., & Fox, C. W. 2006",2006,0.134786815,0.009500301
obs279,"Amarillo-Suárez, A. R., & Fox, C. W. 2006",2006,-0.035096162,0.009480139
obs280,"Amarillo-Suárez, A. R., & Fox, C. W. 2006",2006,0.098756399,0.009490283
obs281,"Amarillo-Suárez, A. R., & Fox, C. W. 2006",2006,-0.01554308,0.009478961
obs282,"Amarillo-Suárez, A. R., & Fox, C. W. 2006",2006,0.004591343,0.009478698
obs283,"Amarillo-Suárez, A. R., & Fox, C. W. 2006",2006,-0.12047115,0.009495951
obs284,"Amarillo-Suárez, A. R., & Fox, C. W. 2006",2006,0.079594637,0.009486215
obs285,"Amarillo-Suárez, A. R., & Fox, C. W. 2006",2006,0.08762643,0.009487814
obs286,"Amarillo-Suárez, A. R., & Fox, C. W. 2006",2006,-0.072558138,0.00948494
obs287,"Amarillo-Suárez, A. R., & Fox, C. W. 2006",2006,-0.034284257,0.009480072
obs288,"Amarillo-Suárez, A. R., & Fox, C. W. 2006",2006,0.019359352,0.009479119
obs289,"Amarillo-Suárez, A. R., & Fox, C. W. 2006",2006,0.123387364,0.009496797
obs290,"Amarillo-Suárez, A. R., & Fox, C. W. 2006",2006,-0.120287785,0.009495898
obs291,"Amarillo-Suárez, A. R., & Fox, C. W. 2006",2006,-0.105037484,0.009491807
obs292,"Amarillo-Suárez, A. R., & Fox, C. W. 2006",2006,0.011379288,0.009478827
obs293,"Amarillo-Suárez, A. R., & Fox, C. W. 2006",2006,0.021432009,0.00947922
obs294,"Amarillo-Suárez, A. R., & Fox, C. W. 2006",2006,-0.0227035,0.009479287
obs295,"Amarillo-Suárez, A. R., & Fox, C. W. 2006",2006,-0.113011164,0.009493877
obs296,"Amarillo-Suárez, A. R., & Fox, C. W. 2006",2006,-0.037773158,0.009480372
obs297,"Amarillo-Suárez, A. R., & Fox, C. W. 2006",2006,-0.134405486,0.009500179
obs298,"Amarillo-Suárez, A. R., & Fox, C. W. 2006",2006,0.108669651,0.009492731
obs299,"Amarillo-Suárez, A. R., & Fox, C. W. 2006",2006,-0.148641147,0.009504976
